settlement_id,name,type,culture_id,owner,description
rhesos_castle,Rhesos Castle,Castle,10,Archon Porphalios,Rhesos Castle       Settlement Information  Type Castle   Kingdom Northern Empire   Villages RhesosDyopalis    Rhesos Castle is a castle in the Northern Empire owned by Archon Porphalios of clan Serapides.  The villages of Rhesos and Dyopalis are bound to the castle.
syratos_castle,Syratos Castle,Castle,10,Archon Maritzios,"Syratos Castle       Settlement Information  Type Castle   Kingdom Northern Empire   Villages Syratos, Tememos    Syratos Castle is a castle in the Northern Empire owned by Archon Maritzios of clan Vatatzes. The villages of Syratos and Tememos are bound to the castle."
varagos_castle,Varagos Castle,Castle,10,The Archon Penton,Varagos Castle       Settlement Information  Type Castle   Kingdom Northern Empire   Villages Aeoria and Varagos    Varagos Castle is a castle of the Northern Calradic Empire owned by the archon Penton of the Neretzes clan.
chanopsis_castle,Chanopsis Castle,Castle,11,Empress Rhagaea,Chanopsis Castle       Settlement Information  Type Castle   Kingdom Southern Empire   Villages ChanopsisPopsia    Chanopsis Castle is a castle in the Southern Empire owned by Empress Rhagaea of clan Pethros.
corenia_castle,Corenia Castle,Castle,11,Archon Baranor,Corenia Castle       Settlement Information  Type Castle   Kingdom Southern Empire   Villages CoreniaMetachia    Corenia Castle is a castle in the Southern Empire owned by Archon Baranor of clan Julios. The villages of Corenia and Metachia are bound to the castle.
jogurys_castle,Jogurys Castle,Castle,11,Archon Satros,Jogurys Castle       Settlement Information  Type Castle   Kingdom Southern Empire   Villages JogurysEunalica    Jogurys Castle is a castle in the Southern Empire owned by Archon Satros of clan Vetranis. The villages of Jogurys and Eunalica are bound to the castle.
lavenia_castle,Lavenia Castle,Castle,11,Oros,"Lavenia Castle  Settlement Information  Type Castle   Kingdom Southern Empire   Villages Ethemisa, Lavenia    Lavenia Castle is a castle in the Southern Calradic Empire owned by Oros of the Mestricaros clan."
melion_castle,Melion Castle,Castle,11,The Archon Serandon,"Melion Castle  Settlement Information  Type Castle   Kingdom Southern Empire   Villages Melion, Sagolina    Melion Castle is a castle in the Southern Calradic Empire owned by the archon Serandon of the Avlonos clan."
morenia_castle,Morenia Castle,Castle,11,The Archon Abalytos,"Morenia Castle  Settlement Information  Type Castle   Kingdom Southern Empire   Villages Atphynia, Morenia    Morenia Castle is a castle in the Southern Calradic Empire owned by the archon Abalytos of the Prienicos clan."
odrysa_castle,Odrysa Castle,Castle,11,Archon Oros,Odrysa Castle       Settlement Information  Type Castle   Kingdom Southern Empire   Villages OdrysaCaira    Odrysa Castle is a castle in the Southern Empire owned by Archon Oros of clan Mestricaros. The villages of Odrysa and Caira are bound to the castle.
sestadaim_castle,Sestadaim Castle,Castle,11,Empress Rhagaea,Sestadaim Castle       Settlement Information  Type Castle   Kingdom Southern Empire   Villages AmyconSestadaim    Sestadaim Castle is a castle in the Southern Empire owned by Empress Rhagaea of clan Pethros. The villages of Amycon and Sestadaim are bound to the castle.
garontor_castle,Garontor Castle,Castle,12,Apys,"Garontor Castle  Settlement Information  Type Castle   Kingdom Western Empire   Villages Garontor, Lysia    Garontor Castle is a castle of Western Empire owned by Apys of the Varros clan. Both the villages of Garontor and Lysia are bound to the castle."
gersegos_castle,Gersegos Castle,Castle,12,Archon Saratis,Gersegos Castle       Settlement Information  Type Castle   Kingdom Western Empire   Villages GersegosVathea    Gersegos Castle is a castle in the Western Empire owned by Archon Saratis of clan Sorados. The villages of Gersegos and Vathea are bound to the castle.
hertogea_castle,Hertogea Castle,Castle,12,By Vipon,"Hertogea Castle  Settlement Information  Type Castle   Kingdom Western Empire   Villages Hertogea, Nideon    Hertogea Castle is a castle of Western Empire owned by by Vipon of the Maneolis clan. The villages of Hertogea and Nideon are bound to the castle."
onica_castle,Onica Castle,Castle,12,Emperor Garios,Onica Castle       Settlement Information  Type Castle   Kingdom Western Empire   Villages OnicaTarcutis    Onica Castle is a castle in the Western Empire owned by Emperor Garios of clan Comnos. The villages of Onica and Tarcutis are bound to the castle.
oristocorys_castle,Oristocorys Castle,Castle,12,Archon Vincantios,Oristocorys Castle       Settlement Information  Type Castle   Kingdom Western Empire   Villages OristocorysElvania    Oristocorys Castle is a castle in the Western Empire owned by Archon Vincantios of clan Palladios. The villages of Oristocorys and Elvania are bound to the castle.
thorios_castle,Thorios Castle,Castle,12,Archon Tynops,Thorios Castle       Settlement Information  Type Castle   Kingdom Western Empire   Villages ThoriosBergum    Thorios Castle is a castle in the Western Empire owned by Archon Tynops of clan Elaches. The villages of Thorios and Bergum are bound to the castle.
thractorae_castle,Thractorae Castle,Castle,12,By Crotor,"Thractorae Castle  Settlement Information  Type Castle   Kingdom Western Empire   Villages Thractorae, Gamardan    Thractorae Castle is a castle of Western Empire owned by by Crotor of the Dionicos clan. The villages bound to the castle are Thractorae and Gamardan."
veron_castle,Veron Castle,Castle,12,Clan Corenios At The Start,"Veron Castle  Settlement Information  Type Castle   Kingdom Western Empire   Villages Veron, Goleryn    Veron Castle is a castle of Western Empire initially owned by clan Corenios at the start of the game."
