village_id,name,culture_id,bound_to_settlement_id,primary_resource,description
llanoc_hen,Llanoc Hen,2,llanoc_hen_castle,Hogs,"Llanoc Hen sits in a ridge in the heights of the Uchalion massif. The villagers, known as skilled pig-farmers, look down two passes, the western one leading up from 7n lands and the eastern one leading up from the Empire.[1]"
cantrec,Cantrec,2,llanoc_hen_castle,Hogs,"Cantrec sits in the rocky Glen of Balasog that climbs up from the imperial lands into the plateau of the Uchalion. The lands is not especially fertile here, but pigs thrive in the bush and shrubland of the heights.[1]"
pendraic,Pendraic,2,pendraic_castle,Grain,"DANK OHIO Pendraic sits on the steep northern slope of the Uchalion Plateau, facing the Bay of Varcheg. It is a land of cold winds and constant low-level warfare, criss-crossed by 7n, 2n and 6n raiding parties. The villagers raise hogs here, always listening to the warning horns telling them to drive their herds to hiding spots in the hills.[1]"
lindorn,Lindorn,2,pendraic_castle,Grain,"Lindorn sits on the green hills north and west of Llyn Tywal, the dark lake. The surrounding farmlands are sown with wheat and barley.[1]"
rhemtoil,Rhemtoil,2,rhemtoil_castle,Grain,Rhemtoil  Settlement Information  Type Village   Kingdom 2    Rhemtoil is a village in 2 owned by High King Caladog of clan fen Gruffendoc. The village is bound to Rhemtoil Castle and known to produce Grain.
claig_ban,Claig Ban,2,rhemtoil_castle,Clay,Claig Ban  Settlement Information  Type Village   Kingdom 2   Fortification Rhemtoil Castle    Claig Ban is a village in 2 owned by High King Caladog of clan fen Gruffendoc. The village is bound to Rhemtoil Castle and known to produce Clay.
uthelaim,Uthelaim,2,uthelaim_castle,Hardwood,Uthelaim  Settlement Information  Type Village   Kingdom 2   Fortification Uthelaim Castle    Uthelaim is a village in 2 owned by High King Caladog of clan fen Gruffendoc. The village is bound to Uthelaim Castle and known to produce Hardwood.
seordas,Seordas,2,uthelaim_castle,Grain,Seordas  Settlement Information  Type Village   Kingdom 2   Fortification Uthelaim Castle    Seordas is a village in 2 owned by High King Caladog of clan fen Gruffendoc. The village is bound to Uthelaim Castle and known to produce Grain.
akiser,Akiser,4,akiser_castle,Iron Ore,"Akiser sits in the southern reaches of the Akkan hills. The land here is exceptionally broken and weathered, revealing seams of iron in the sides of the gullies and ravines."
dinar,Dinar,4,dinar_castle,Sheep,"Dinar lies in the far north of the 4 confederacy, along the Karakaz river. Snow-bound for much of the year, the spring grasses nonetheless sustain sizeable herds of sheep, the thick wool of which protects them from this land's icy winds."
karahalli,Karahalli,4,dinar_castle,Sheep,"Karahalli lies in the far north of the 4 confederacy, not far from the icy Byalic Sea. Snow-bound for much of the year, the spring grasses nonetheless sustain sizeable herds of sheep, the thick wool of which protects them from the icy winds blowing off of the waters."
erzenur,Erzenur,4,erzenur_castle,Iron Ore,"Erzenur alongside the River Tiagys, known in the local dialect as the 'Teyagh'. The waters here have a distinct reddish tint from the iron in the soil, which the villagers mine from riverside outcrops.[1]"
gereden,Gereden,4,erzenur_castle,Clay,"Gereden and its outlying hamlets on the southern end of the Devseg Plateau, near the juncture of Ozu River and Teyagh River. Though rough country, it is known for the fine clay that can be gathered from the ravines. [1]"
hakkun,Hakkun,4,hakkun_castle,Silver Ore,"The village of Hakkun is perched atop the escarpment of the Akkan Hills. The people of these parts have long mined silver from the mountains, a trade that the 4 khans were happy to encourage when they conquered this region. [1]"
kiraz,Kiraz,4,hakkun_castle,Sheep,"Kiraz lies in a basin at the southern end of the Devseg Plateau. Until recently, this land was dominated by nomads, and the people here still make their living by raising sheep. [1]"
kaysar,Kaysar,4,kaysar_castle,Cows,"Kaysar sits in the north and east of the lands ruled by the 4s, in the valley of the Karakaz river. This district is snowbound for much of the year, but villagers still raise herds of cattle bred to withstand the icy winds coming downriver from the north."
payam,Payam,4,kaysar_castle,Wheat,"Payam lies alongside the Karakaz river in the cold north of the 4 lands. Though the land is snowbound much of the year, the villagers sow wheat and barley as soon as the melt starts, taking in a good crop before the autumn."
omrotok,Omrotok,4,khimli_castle,Hardwood,"Omrotok sits at the foot of the Sulun Dag mountains, that mark the eastern border of the Devseg plateau. Villagers go to the nearby woods to harvest one of the Devseg's few sources of timber."
simira,Simira,4,simira_castle,Cows,"Simira sits near the east of the Devseg plateau, as it begins to descend into the great grass sea of the east. Villagers here raise cattle bred to withstand both cold winters and hot summers."
kohi_ajik,Kohi Ajik,4,simira_castle,Horses,"Kohi Ajik lies in a narrow, dry valley at the foot of the so-called Lover's Mountain, from which its name derives. The peoples of this land buy horses from the nomads to their east and sell them to the 4 aristocracy in the towns."
usek,Usek,4,usek_castle,Sheep,"Usek sits at the foot of the Akkan hills on the eastern shores of Lake Tanaesis, which the 4 call the Tanaz Sea. The villagers, who until recently were nomads, raise sheep known for their long, fine wool."
esme,Esme,4,usek_castle,Horses,"The village of Esme and its surrounding hamlets lie on the landward side of the Akkan hills on the Devseg plateau, prime grazing lands for the flocks of the 4 and their confederates."
forin,Forin,6,mazhadan_castle,Grain,Forin       Settlement Information  Type Village   Kingdom 6   Fortification Mazhadan Castle    Forin is a village in 6 owned by Grand Prince Raganvad of clan Gundaroving. The village is bound to Mazhadan Castle and known to produce Grain.
mazhadan,Mazhadan,6,mazhadan_castle,Flax,"Mazhadan sits near the source of the Galchas River, just west of Lake Laconis. Villagers grow flax in the muddy valleys between the hills in this cold, rainy land.[1]"
dnin,Dnin,6,nevyansk_castle,Horses,"Dnin sits on pastures overlooking the narrowest part of the Bay of Varcheg. Horses graze on the heights, glancing down occasionally at the trading longships and fishing boats passing beneath them.[1]"
nevyansk,Nevyansk,6,nevyansk_castle,Grain,"Nevyansk sits on a flat shelf of land overlooking the Bay of Varcheg. The land is cold, but the runoff from the hills brings rich soil, and villagers grow hardy crops like rye and barley.[1]"
ov,Ov,6,ov_castle,Furs,"Ov is a recent 6n colony in the Ircara wilds, a forest northwest of Lake Laconis. Villagers brave cold, wolves and the sometimes-hostile, sometimes-friendly peoples of the woods in pursuit of fur, the bounty of the northlands.[1]"
takor,Takor,6,takor_castle,Cows,"Takor is a cattle raising village at the pass that the 2ns call 'Mynad Rhyfel', the mountain of war, and their imperial and 6n neighbors call Minador. It is one of the main trading and raiding routes between the wild north and the more settled imperial lands.[1]"
dvorusta,Dvorusta,6,takor_castle,Fish,"Dvorusta is a fishing village overlooking the rapids linking Mazopor Bay with Lake Laconis. Villagers make their way down the cliffsides at dawn to catch salmon leaping over the rocks, as well as herring and cod in the sea.[1]"
urikskala,Urikskala,6,urikskala_castle,Fish,"Urikskala sits in the Portages of Iltan, a network of glacial lakes over which longships can be hauled and sailed between Lake Laconis and Lake Tanaesis. Villagers net small spiny perch and crayfish in the shallow waters, drying them for sale to travelers.[1]"
alov,Alov,6,urikskala_castle,Grain,"Alov sits on the edge of the glacial lakes known as the Portages of Iltan. Villagers cultivate rye and barley on the high ground overlooking the lakes, and the rich black soil of the region compensates for the long winters and short growing season.[1]"
vladiv,Vladiv,6,vladiv_castle,Cows,"Vladiv sits at the base of Mount Iltan, in a cold, dark wooded valley. The hardy cattle of this region have learned to dig through thick winter snows in search of grass to sustain them until the spring.[1]"
caleus,Caleus,7,caleus_castle,Flax,"Caleus lies on the misty coastal plain south of the Bay of Varcheg. Villagers speak a mix of the 7n, 6n and 2n tongues. They grow flax in the lowlands here.[1]"
deriat,Deriat,7,caleus_castle,Olives,Deriat       Settlement Information  Type Village   Kingdom 7   Fortification Caleus Castle    Deriat is a village in 7 owned by Baron Servic of House dey Valant. The village is bound to Caleus Castle and known to produce Olives.
drapand,Drapand,7,drapand_castle,Olives,"Drapand  Settlement Information  Type Village   Kingdom 7   Fortification Drapand Castle    Drapand is a village in 7 owned by the baron, Aldric of the House dey Tihr. The village is bound to Drapand Castle and is known to produce Olives."
valanby,Valanby,7,drapand_castle,Olives,"Valanby  Settlement Information  Type Village   Kingdom 7   Fortification Drapand Castle    Valanby is a village in 7 owned by the baron, Aldric of the House dey Tihr. The village is bound to Drapand Castle and is known to produce Olives. It is likely that the town is famous for its horses and the namesake of the Valanby Courser breed."
hongard,Hongard,7,hongard_castle,Grain,"Hongard  Settlement Information  Type Village   Kingdom 7   Fortification Hongard Castle    Hongard is a village in 7 owned by the baron, Vartin of House dey Jelind. The village is bound to Hongard Castle and is known to produce Grain."
ferton,Ferton,7,hongard_castle,Olives,"Ferton  Settlement Information  Type Village   Kingdom 7   Fortification Hongard Castle    Ferton is a village in 7 owned by the baron, Vartin of House dey Jelind. The village is bound to Hongard Castle and is known to produce Olives."
ormanfard,Ormanfard,7,ormanfard_castle,Grain,"Ormanfard sits by a small, fast-flowing river that runs down from the mountains of the Rhennod to fill the lake known as Ocspool. Rains are plentiful and wheat and barley grow well on the hillsides."
talivel,Talivel,7,talivel_castle,Olives,Talivel       Settlement Information  Type Village   Kingdom 7   Fortification Talivel Castle    Talivel is a village in 7 owned by King Derthert of House dey Meroc. The village is bound to Talivel Castle and known to produce Olives.
rodetan,Rodetan,7,talivel_castle,Iron Ore,Rodetan  Settlement Information  Type Village   Kingdom 7   Fortification Talivel Castle    Rodetan is a village in 7 owned by King Derthert of House dey Meroc. The village is bound to Talivel Castle and is known to produce Iron Ore.
tirby,Tirby,7,tirby_castle,Silver Ore,"Tirby  Settlement Information  Type Village   Kingdom 7   Fortification Tirby Castle    Tirby is a village in 7 owned by the baron, Ospir of the House dey Gunric. The village is bound to Tirby Castle and known to produce Silver Ore."
sirindac,Sirindac,7,tirby_castle,Flax,"Sirindac       Settlement Information  Type Village   Kingdom 7   Fortification Tirby Castle    Sirindac is a village in 7 owned by the baron, Ospir of the House dey Gunric. The village is bound to Tirby Castle and known to produce Flax."
usanc,Usanc,7,usanc_castle,Olives,Usanc       Settlement Information  Type Village   Kingdom 7   Fortification Usanc Castle    Usanc is a village in 7 owned by Baron Berican of House dey Rothad. The village is bound to Usanc Castle and known to produce Olives.
verecsand,Verecsand,7,verecsand_castle,Grain,"Verecsand sits by the waters of the Ocspool, a small but deep inland lake. Villagers here grow wheat in the gentle downs by the lakeside."
marin,Marin,7,verecsand_castle,Grapes,"Marin  Settlement Information  Type Village   Kingdom 7   Fortification Verecsand Castle    Marin is a village in 7 owned by the baron, Belgir of the House dey Fortes. The village is bound to Verecsand Castle and is known to produce Grapes."
ataconia,Ataconia,10,ataconia_castle,Silver Ore,Ataconia sits on a plateau in the piedmont of the Dryatic Mountains. The people of this area are skilled at finding seams of silver ore exposed by the streams rushing down from the mountains. [1]
potamis,Potamis,10,ataconia_castle,Cows,Potamis  Settlement Information  Type Village   Kingdom Northern Empire   Fortification Ataconia Castle    Potamis is a village of the Northern Empire owned by Manteos of the Argoron clan.  The village is bound to Ataconia Castle and is known to produce Cows.
masangara,Masangara,10,atriom_castle,Cows,"Masangara sits on the banks of the Nevys, a cold, slow-moving river that empties into Lake Laconis. Cattle are raised here in former marshy woodlands, now drained and turned into meadows.[1]"
gaos,Gaos,10,gaos_castle,Cows,"Gaos sits in a broad valley in the Myzead, the hill country in the east of the Empire. Nomadic herders once occupied this land, and the village's name is taken from their word for cattle.[1]"
themys,Themys,10,gaos_castle,Sheep,"Themys lies under a ridge of limestone crags in the Myzead, the hill country of the imperial heartland. The grasses on the rolling downs are well-suited to the raising of sheep.[1]"
epinosa,Epinosa,10,epinosa_castle,Cows,Epinosa  Settlement Information  Type Village   Kingdom Northern Empire   Fortification Epinosa Castle    Epinosa is a village of the Northern Empire owned by Tasynor of the Phalentes clan. The village is bound to Epinosa Castle and known to produce Cows.
pons,Pons,10,epinosa_castle,Cows,Pons  Settlement Information  Type Village   Kingdom Northern Empire   Fortification Epinosa Castle    Pons is a village of the Northern Empire owned by Tasynor of the Phalentes clan. The village is bound to Epinosa Castle and known to produce Cows.
lochana,Lochana,10,lochana_castle,Raw Silk,"Lochana sits on the eastern shore of Lake Laconis. The muddy, low-lying land here is well suited to the growing of flax.[1]"
nortanisa,Nortanisa,10,lochana_castle,Fish,Nortansia  Settlement Information  Type Village   Kingdom Northern Empire   Fortification Lochana Castle    Nortansia is a village of the Northern Empire owned by Nicasor of the Chonis clan. The village is bound to Lochana Castle and known to produce Fish.
agalmon,Agalmon,10,mecalovea_castle,Hardwood,"Agalmon sits near the juncture of the Galchas River and the Miron River, two small but fast-flowing northern rivers. This foresting village has had mostly good relations with its 6n neighbors thanks to decades of intermarriage, though they have become strained of late with the outbreak of war.[1]"
mecalovea,Mecalovea,10,mecalovea_castle,Iron Ore,"Mecalovea sits overlooking the Galchasic Cataracts, a series of rapids and waterfalls through which the Miron River empties into Lake Laconis. The village, perched on a cliffside for protection from raiders in this frontier region, thrives on the ore deposits exposed where the cataract cuts through the escarpment.[1]"
rhesos,Rhesos,10,rhesos_castle,Cows,Rhesos sits in a plateau in the Dryatic Mountains. Highland cattle thrive on the grasses of the heights.[1]
dyopalis,Dyopalis,10,rhesos_castle,Grain,"Dyopalis lies in a valley in the Dryatic Mountains. Despite the cold winters, the region's fertile soils make this district one of the breadbaskets of the northern Empire.[1]"
syratos,Syratos,10,syratos_castle,Iron Ore,Syratos       Settlement Information  Type Village   Kingdom Northern Empire   Fortification Syratos Castle    Syratos is a village of the Northern Empire owned by Archon Maritzios of clan Vatatzes. The village is bound to Syratos Castle and known to produce Iron Ore.
tememos,Tememos,10,syratos_castle,Hardwood,Tememos       Settlement Information  Type Village   Kingdom Northern Empire   Fortification Syratos Castle    Tememos is a village in the Northern Empire owned by Archon Maritzios of clan Vatatzes. The village is bound to Syratos Castle and known to produce Hardwood.
aeoria,Aeoria,10,varagos_castle,Grain,Aeoria  Settlement Information  Type Village   Kingdom Northern Empire   Fortification Varagos Castle    Aeoria is a village of the Northern Empire owned by the archon Penton of the Neretzes clan. The village is bound to Varagos Castle and it is known to produce Grain.
varagos,Varagos,10,varagos_castle,Sheep,"Varagos sits on the Aris River, a small highland stream that flows into the deep pool known as the Ophthys. The land here is not especially rich, but is sufficient for the raising of sheep.[1]"
chanopsis,Chanopsis,11,chanopsis_castle,Grain,Chanopsis sits near the headwaters of the Sethys River in the plateau region known as the Myzead. Wheat grows well on the sun-baked plains.[1]
popsia,Popsia,11,chanopsis_castle,Hardwood,"Popsia is located in a narrow canyon between the Ornian Rock and the valley of the Ophthys pool. Trees grow tall here in the cool shadows of the hills, and villagers harvest pines for sale as lumber.[1]"
corenia,Corenia,11,corenia_castle,Grain,"Corenia is one of the farthest flung villages of the Empire to speak the Calradic tongue. It sits in the plains southeast of Lake Tanaesis in the shadow of the Akkan Hills, beyond which is spoken only Darshi and the languages of the steppe. Villagers grow grain here, keeping watch for raiders from across the frontiers.[1]"
metachia,Metachia,11,corenia_castle,Raw Silk,"Metachia is the lies on the southern shores of Lake Tanaesis in the frontier lands beyond River Tiagys. This imperial colony, established in more peaceful times, is a center for mulberry bushes used in silk production.[1]"
jogurys,Jogurys,11,jogurys_castle,Olives,"Jogurys lies on the flat western shores of Lake Tanaesis. This land was originally inhabited by nomadic tribes and has come under cultivation only recently. Imperial colonists have made intensive efforts to grow mullberry bushes here to raise silkworms, a lucrative product in this region.[1]"
eunalica,Eunalica,11,jogurys_castle,Salt,Eunalica sits on the western shores of Lake Tanaesis. This low-lying country is fine land for the growing of flax.[1]
ethemisa,Ethemisa,11,lavenia_castle,Grain,"Ethemisa sits on the river that the 1 call the Nahr al-Kals, the Bitter River, and what imperial citizens call the Calsa River. Here, the river has just descended from the coastal hills and has not yet reached the alkali plains of the southeast. The lands around produce a fine crop of grain.  [1]"
lavenia,Lavenia,11,lavenia_castle,Fish,"Lavenia is a fishing village on the northeastern shores of the Perassic Sea. The nearby castle guards one of the main passages over the network of lakes and salt lagoons known as the Calsea, one of the gateways to 1 lands. [1]"
melion,Melion,11,melion_castle,Raw Silk,"Melion in a narrow valley near the center of the Myzead, a rugged plateau in the east of the Empire. Villagers here cultivate mulberry bushes. The leaves are harvested and fed to silkworks, producing thread much valued by both refined imperial nobles for their courtwear and hard-riding nomads and frontiersmen, who wear it beneath their armor as an extra layer of protection against arrows. [1]"
sagolina,Sagolina,11,melion_castle,Silver Ore,"Sagolina sits at the foot of a narrow valley in the Myzead, a rugged plateau in eastern Calradia. The silver mined from nearby hills helps explain the effort and expense to which the Empire has gone in past centuries to conquer and defend these lands. [1]"
atphynia,Atphynia,11,morenia_castle,Salt,"The village of Atphynia sits near the mouth of the Sethys River, just before it splits into three to form the valley known as Tripotamia. Villagers here have laid out salt pans near where the Sethys estuary joins the Perassic Sea.[1]"
morenia,Morenia,11,morenia_castle,Clay,"Morenia sits overlooking the Sethys River, on a low pass leading over the hills to the Lycarea Valley. Villagers collect clay from the riverbanks for the kilns of the imperial southlands.  [1]"
odrysa,Odrysa,11,odrysa_castle,Hardwood,"Odrysa lies on the far eastern frontiers of the Empire, just across the River Tiagys from lands that are now the 4 Khanate. Though this area is dry, oak and other trees grow in the Tiagys gorges and other nooks in the hills, sustaining a small lumber industry.[1]"
caira,Caira,11,odrysa_castle,Grain,"Caira sits amid the network of rivers, lakes and lagoons known as the Calsea. Any further east, the land becomes alkaline and barren, but here the floodplains of the parallel Calsa River and Tiagys River allow the growing of wheat.[1]"
amycon,Amycon,11,sestadaim_castle,Sheep,"Amycon lies in a series of small but sharp ridges between the Ornian Rock and the Aris Valley. The people of this land are sheep herders, known for their dry, salty cheese flavored with cumin.[1]"
sestadaim,Sestadaim,11,sestadaim_castle,Silver Ore,"Sestadaim sits on the western side of the great Ornian Rock, an outcrop in the center of the Lycarea Valley. Some say the vultures for which the rock is named once gathered here to feast on the bodies of those who died working the local silver mines.[1]"
garontor,Garontor,12,garontor_castle,Horses,"Garontor gives its name to the promontory between the Gulf of Charas and the inland Perassic Sea. Coastal meadows, where tall grasses tolerant of the ocean salt-spray thrive, support the rearing of fine horses."
lysia,Lysia,12,garontor_castle,Salt,Lysia  Settlement Information  Type Village   Kingdom Western Empire    Lysia is a village of the Western Empire owned by Apys of the Varros clan. The village is bound to Garontor Castle and it is known to produce Salt.
gersegos,Gersegos,12,gersegos_castle,Silver Ore,"Gersegos sits in the gorges of the Miron river, as it cuts between the cliffs of the Cursion Escarpment and the Dryatic mountains. Villagers have sunk mines into a spur that overlooks the village, extracting silver and other precious metals.[1]"
vathea,Vathea,12,gersegos_castle,Iron Ore,"Vathea sits high on the slopes of the Dryatic mountains, facing across the valley to the great basalt slab of Mount Erithrys. The villagers mine iron from shafts sunk deep into the cliffs of the mountains.[1]"
hertogea,Hertogea,12,hertogea_castle,Iron Ore,Hertogea  Settlement Information  Type Village   Kingdom Western Empire    Hertogea is a village of Western Empire owned by Vipon of the Maneolis clan. The village is bound to Hertogea Castle and known for the production of Iron Ore.
nideon,Nideon,12,hertogea_castle,Olives,Nideon  Settlement Information  Type Village   Kingdom Western Empire    Nideon is a village of Western Empire owned by by Vipon of the Maneolis clan. The village is bound to Hertogea Castle and known for the production of Olives.
onica,Onica,12,onica_castle,Olives,Onica  Settlement Information  Type Village   Kingdom Western Empire   Fortification Onica Castle    Onica is a village in the Western Empire owned by Emperor Garios of clan Comnos. The village is bound to Onica Castle and known to produce Olives.
tarcutis,Tarcutis,12,onica_castle,Grapes,Tarcutis  Settlement Information  Type Village   Kingdom Western Empire   Fortification Onica Castle    Tarcutis is a village in the Western Empire owned by Emperor Garios of clan Comnos. The village is bound to Onica Castle and is known to produce Grapes.
oristocorys,Oristocorys,12,oristocorys_castle,Furs,Oristocorys       Settlement Information  Type Village   Kingdom Western Empire   Fortification Oristocorys Castle    Oristocorys is a village in the Western Empire owned by Archon Vincantios of clan Palladios. The village is bound to Oristocorys Castle and known to produce Furs.
elvania,Elvania,12,oristocorys_castle,Furs,Elvania       Settlement Information  Type Village   Kingdom Western Empire   Fortification Oristocorys Castle    Elvania is a village in the Western Empire owned by Archon Vincantios of clan Palladios. The village is bound to Oristocorys Castle and known to produce Furs.
thorios,Thorios,12,thorios_castle,Grain,"Thorios sits in the Aris valley in the heart of Calradia. River irrigation and the relatively warm inland climate ensure that the grain fields of this district, along with neighboring Bergum, feed much of the central Empire.[1]"
bergum,Bergum,12,thorios_castle,Grain,"Bergum sits in the Aris valley in the heart of Calradia. River irrigation and the relatively warm inland climate ensure that the grain fields of this district, along with neighboring Thorios, feed much of the central Empire.[1]"
thractorae,Thractorae,12,thractorae_castle,Dates,"Thractorae sits on a small bay that feeds into the larger Gulf of Charas. These lands, stirred by hot winds from the south and watered by hillside springs, have been used by imperial landowners for the experimental growing of date palms."
gamardan,Gamardan,12,thractorae_castle,Grapes,"Gamardan sits at the head of a small bay that branches off the larger Gulf of Charas. The wines of this region are unusually sweet and strong, and valued throughout the Empire."
goleryn,Goleryn,12,veron_castle,Sheep,Goleryn  Settlement Information  Type Village   Kingdom Western Empire   Fortification Veron Castle    Goleryn is a village of Western Empire owned by by Achios of the Corenios. The village is bound to Veron Castle and it is know for the production of Sheep.
veron,Veron,12,veron_castle,Sheep,Veron  Settlement Information  Type Village   Kingdom Western Empire   Fortification Veron Castle    Veron is a village of the Western Empire owned by Achios of the Corenios. The village is bound to Veron Castle and it is know for the production of Sheep.
